Depmap ID,"CRISPR (DepMap Public 24Q2+Score, Chronos)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 24Q2,Mutations_Prioritized
ACH-002510,-0.681052873524727,M040416,Melanoma,Skin,Melanoma,9.858929006833431,Other
ACH-002511,-1.5163803133256657,M140325,Melanoma,Skin,Melanoma,10.568241164842515,Other
ACH-002512,-0.7986519205141083,MM160113,Melanoma,Skin,Melanoma,10.198690585668915,Other
ACH-002522,-0.5494047772881547,SNU2292,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.593017561152962,Other
ACH-002523,0.004135608794276768,SNU739,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma,11.389846410077986,Other
ACH-002524,-0.44152586457000154,SNU251,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,10.160753834755504,Other
ACH-002526,-0.5150443139097565,SNU1327,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.150635830342502,Other
ACH-002531,-0.25374325724090324,SNU2535,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,9.49219369245109,Other
ACH-002465,-0.3080501967356976,RPE1SS119,Non-Cancerous,Eye,Non-Cancerous,10.542258049766918,Other
ACH-002467,-0.06554702038964388,RPE1SS51,Non-Cancerous,Eye,Non-Cancerous,10.845725253788288,Other
ACH-002471,-0.6229234537138727,OS052,Osteosarcoma,Bone,Osteosarcoma,10.000422602661097,Other
ACH-002478,-1.0169228314598606,BC2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,,Other
ACH-002485,-0.8569970043469006,MAVER1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,9.712819292827112,Other
ACH-002486,-0.33074884836997065,MESOV,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,10.338736382573916,Other
ACH-002500,-1.0436639492691737,Z138,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,9.535236489437931,Other
ACH-002508,-0.4461944559739773,WM3211,Melanoma,Skin,Melanoma,10.4112991229642,Other
ACH-002401,-1.4831125722404688,21MT2,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,,Other
ACH-002446,-0.891505294978368,CCLFUPGI0005T,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,10.116473927909407,Other
ACH-002458,-1.0227592399349497,HT144SKINFV1,Melanoma,Skin,Melanoma,10.219168520462162,Other
ACH-002460,-0.6606938770937117,HT144SKINFV2,Melanoma,Skin,Melanoma,9.535372589992416,Other
ACH-002461,-0.16421619383698866,RVH421SKINFV1,Melanoma,Skin,Melanoma,10.510071824622376,Other
ACH-002462,-0.14522756392814817,RPE1SS48,Non-Cancerous,Eye,Non-Cancerous,10.793603309279408,Other
ACH-002463,0.0425242316351514,RPE1SS77,Non-Cancerous,Eye,Non-Cancerous,11.025139562278508,Other
ACH-002464,0.01029930196476414,RPE1SS6,Non-Cancerous,Eye,Non-Cancerous,10.61351323604383,Other
ACH-002294,-1.173600214561601,PCI15A,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002295,-1.012146775217364,PCI30,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002296,-0.3221913995518902,PCI38,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002297,-0.4948707395706052,PCI4B,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002298,-1.3188470995843637,PCI6A,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002304,-0.1260654690580716,SKMG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002305,-0.49076287894865045,SKN3,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002399,-1.2533885942449587,21NT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,,Other
ACH-000037,-0.5621681531643054,S117,"Sarcoma, NOS",Soft Tissue,"Sarcoma, NOS",11.055689153083422,Other
ACH-000039,-0.9768875633353921,SKNMC,Ewing Sarcoma,Bone,Ewing Sarcoma,10.05636676102453,Other
ACH-000040,-0.20832582001405509,U118MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,10.838888754786185,Other
ACH-000041,-0.6566783579188268,RDES,Ewing Sarcoma,Bone,Ewing Sarcoma,10.875902903124835,Other
ACH-000042,-0.39720415130895703,PANC0203,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,9.481395824154127,Other
ACH-000045,-0.7736562199877414,MV411,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,10.280770770130603,Other
ACH-000047,-0.49980204549428814,GCIY,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,,Other
ACH-000048,-0.4941372336235495,TOV112D,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,9.921171490264612,Other
ACH-000024,-1.2323641838526513,OPM2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,8.9168348851483,Other
ACH-000025,-0.3187552737080274,CH157MN,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor,10.442114122419223,Other
ACH-000026,-0.5586489535980856,253JBV,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,9.499407432467947,Other
ACH-000028,-0.8596669974665696,KPL1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.770746471837873,Other
ACH-000029,-0.9738277923447474,HCC827GR5,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,9.729756680144195,Other
ACH-000030,-1.5488099724123987,PC14,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.580823849962798,Other
ACH-000035,-0.664942605623705,NCIH1650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.453785055496157,Other
ACH-000036,-0.3300022519505735,U343,Diffuse Glioma,CNS/Brain,Diffuse Glioma,10.65167959340454,Other
ACH-000014,-0.24324856037681658,HS294T,Melanoma,Skin,Melanoma,10.39628367088468,Other
ACH-000015,-0.12343208768674441,NCIH1581,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.342519189660608,Other
ACH-000017,-0.2703587446365673,SKBR3,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.02389293406326,Other
ACH-000018,-0.2453324112757666,T24,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,11.500294168789171,Other
ACH-000019,-0.5949317971700974,MCF7,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.621777168624398,Other
ACH-000021,-0.49453846551578196,NCIH1693,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.009128789539256,Other
ACH-000022,-0.5662567738495099,PATU8988S,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,10.246027980528105,Other
ACH-000023,-1.2738443437369142,PATU8988T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,10.574120435009748,Other
ACH-002533,-0.7583306590091948,SNU482,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,9.655351828612554,Other
ACH-000004,-0.9691892290329014,HEL,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,10.046987545079482,Other
ACH-000005,-0.3641488209541498,HEL9217,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,10.576767756097611,Other
ACH-000007,-0.7924994998165278,LS513,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,9.638435913990472,Other
ACH-000009,-0.8989753079683671,C2BBE1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,10.11556391523799,Other
ACH-000011,-0.24650783110568636,253J,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,9.027988907695502,Other
ACH-000012,-1.2806365687574557,HCC827,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.52179671141179,Other
ACH-000013,-0.7770773239866675,ONCODG1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,10.351601829513784,Other
ACH-000152,0.04303059385232377,M059K,Diffuse Glioma,CNS/Brain,Diffuse Glioma,11.2037762203928,Other
ACH-000153,-0.37192128114346945,NCIH2052,Pleural Mesothelioma,Pleura,Pleural Mesothelioma,11.303209948944776,Other
ACH-000155,-0.4714528518907699,SW1990,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,10.531966218360251,Other
ACH-000159,-0.3555234458338318,OSRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,10.741804025309555,Other
ACH-000160,-0.444496162715749,BT12,Embryonal Tumor,CNS/Brain,Embryonal Tumor,9.537024215863577,Other
ACH-000161,-0.5416449340901539,CORL105,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,10.36106648879432,Other
ACH-000163,-0.5674439827853704,SW579,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,10.89875252616484,Other
ACH-000164,-0.09677094328548397,PANC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,11.180344320276008,Other
ACH-000143,-0.8314570678723823,HCC2429,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,9.51175265376738,Other
ACH-000144,-0.1800632778374895,RERFGC1B,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,10.229660017239947,Other
ACH-000145,-0.4347029496576753,SKLMS1,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma,10.987406142513606,Other
ACH-000146,-1.5045411209254846,THP1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,10.321026128592967,Other
ACH-000147,-0.2971766811131841,T47D,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.407480222096655,Other
ACH-000148,-0.3910758060169388,HS578T,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.847213982000603,Other
ACH-000149,-1.4690642335903017,SKNSH,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,10.963907560974055,Other
ACH-000151,-1.217448005492939,JM1,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,10.192416116469978,Other
ACH-000128,-0.7166633370867045,LN319,Diffuse Glioma,CNS/Brain,Diffuse Glioma,9.460210135981823,Other
ACH-000132,-0.5601789235723145,JHOS2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,9.71678517227028,Other
ACH-000133,-0.5491600151143257,HS729,Non-Cancerous,Fibroblast,Non-Cancerous,10.638526418996046,Other
ACH-000137,-0.33350620764564626,8MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma,11.012065787873995,Other
ACH-000138,-0.3605398579302534,CFPAC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,9.79892535653903,Other
ACH-000139,-1.1371385345341483,PANC0327,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,9.956419720609286,Other
ACH-000141,-1.3776729725710566,SNU308,Intracholecystic Papillary Neoplasm,Biliary Tract,Intracholecystic Papillary Neoplasm,9.780703793967604,Other
ACH-000142,-0.5993537270058267,CAL29,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,11.142872886768057,Other
ACH-000114,-0.8042587539503546,SU8686,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,9.52383635564718,Other
ACH-000115,-0.6658215602798689,VCAP,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,10.920055054806966,Other
ACH-000116,-0.5749186982794297,OAW28,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,10.490249210627086,Other
ACH-000118,-0.6724241531577234,HUPT3,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,10.073873776502383,Other
ACH-000120,-0.3213118440838016,CHP212,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,10.177170346341516,Other
ACH-000123,-0.7014224379998266,COV434,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,10.558133676419049,Other
ACH-000124,-1.7741432295236637,OCILY19,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,9.26486479065274,Other
ACH-000127,-0.4239767769001588,SLR20,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,9.691307330191115,Other
ACH-000208,-0.7220718640565801,U178,Diffuse Glioma,CNS/Brain,Diffuse Glioma,10.49735289347705,Other
ACH-000209,-0.3195448736245107,SNU1079,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,8.926355302710695,Other
ACH-000210,-0.5302293670516622,CADOES1,Ewing Sarcoma,Bone,Ewing Sarcoma,9.521286349472469,Other
ACH-000211,-0.4392945851863993,DAOY,Embryonal Tumor,CNS/Brain,Embryonal Tumor,10.360517914681894,Other
ACH-000212,-0.22344096144870862,CAL120,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,10.43827205612483,Other
ACH-000213,-1.0990227352233184,HUPT4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,9.764738923023376,Other
ACH-000215,-0.020244650768391992,LN382,Diffuse Glioma,CNS/Brain,Diffuse Glioma,10.530113671505024,Other
ACH-000216,-0.290978134470512,JHESOAD1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,9.620201493814898,Other
ACH-000195,-0.9925611158305816,SET2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,10.109438919188126,Other
ACH-000198,-0.9978740648936621,EOL1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms,9.685151747398493,Other
ACH-000200,-0.16580161409953403,NMCG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma,10.252901920450268,Other
ACH-000202,-0.4653106524526493,COLO320,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,9.56740474272747,Other
ACH-000203,-0.45090663870140313,NH6,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,10.175674291896126,Other
ACH-000204,-1.707190683432536,LP1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,9.145677455195637,Other
ACH-000206,-1.408880005637281,C8166,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,9.563730151757944,Other
ACH-000207,-1.1943746166476075,DETROIT562,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,11.364955378481907,Other
