Depmap ID,"CRISPR (DepMap Public 24Q2+Score, Chronos)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 24Q2,Mutations_Prioritized
ACH-001347,0.04503354756099254,H157,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.333065878076355,Other
ACH-001370,0.0880023993282205,OCIP5X,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.924337464075348,Other
ACH-001368,0.06433221473564485,OACM51,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,7.845239125638779,Other
ACH-001367,0.16396101252301948,NMB,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.473462236235279,Other
ACH-001366,0.009856950443052764,NGP,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.821710215034674,Other
ACH-001360,0.076690479566867,MS751,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,4.767654798237347,Other
ACH-001356,-0.1611981697082091,MB1,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,8.725673000366422,Other
ACH-001354,0.0022151352022743848,LAN2,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.651912744645783,Other
ACH-001353,-0.21030965807211088,JOPACA1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.124328135002202,Other
ACH-001374,0.20629913366088304,PA1,Ovarian Germ Cell Tumor,Ovary/Fallopian Tube,Ovarian Germ Cell Tumor,6.882276215853684,Other
ACH-001346,0.22992341810955086,H103,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,7.843418610801299,Other
ACH-001345,0.10701071270328695,GP5D,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.902556005344628,Other
ACH-001344,0.4914131500287263,GIMEN,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,7.430034318573491,Other
ACH-001341,-0.025643675268131202,DOTC24510,Mixed Cervical Carcinoma,Cervix,Mixed Cervical Carcinoma,8.422275056245466,Other
ACH-001340,-0.029671574778394008,COV413A,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.817111572795697,Other
ACH-001338,0.16594278730506298,CHP134,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,6.2509615735332185,Other
ACH-001336,0.21607685061875698,CASKI,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,6.88837796340678,Other
ACH-001335,0.0986131466721268,C4II,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,5.956056652412403,Other
ACH-001389,0.057477259160673144,SUM1315MO2,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,6.02945288578697,Other
ACH-001399,0.03943716682670673,SW626,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.533874777258546,Other
ACH-001398,0.3193236029079778,SW156,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,6.602587527342561,Other
ACH-001396,-0.07239186612630023,SUM52PE,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,3.0874628412503395,Other
ACH-001394,0.02554537793522503,SUM229PE,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,7.002477503606243,Other
ACH-001393,0.22912086386195746,SUM190PT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,8.453764482158151,Other
ACH-001392,-0.15799329784955857,SUM185PE,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,3.587364990936461,Other
ACH-001391,0.07910339225451175,SUM159PT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,7.303598116992494,Other
ACH-001390,0.22363521260832697,SUM149PT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,4.720278465233327,Other
ACH-001334,-0.035812080894937884,C4I,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,6.047014819517589,Other
ACH-001388,0.05956630414519535,SUM102PT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,3.1953475983222197,Other
ACH-001386,0.37553404456771894,SCLC22H,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,6.453682185872176,Other
ACH-001385,0.0360754984209255,RPMI2650,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.487357715311548,Other
ACH-001382,0.23784662976791326,PACADD188,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,6.235344128172668,Other
ACH-001380,0.1041840965573683,PACADD165,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,7.149239038837029,Other
ACH-001379,-0.1365819536703931,PACADD161,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,6.371733090622668,Other
ACH-001377,0.056529211358978086,PACADD137,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,6.010779838753242,Other
ACH-001375,0.19855579088916733,PACADD119,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,7.428025110276753,Other
ACH-001232,0.4848142681747488,UW228,Embryonal Tumor,CNS/Brain,Embryonal Tumor,9.388211067186466,Other
ACH-001279,0.07769605611049682,SCCOHT1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.516645557780962,Other
ACH-001278,-0.0774678852139168,BIN67,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.5906618959652645,Other
ACH-001277,0.3236541954513186,YAMATO,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,6.139551352398794,Other
ACH-001275,0.028025228172501776,SYO1,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,5.778208576398088,Other
ACH-001274,0.12757781138690588,SW982,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,7.471268764173582,Other
ACH-001270,-0.04391706113425138,127399,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,6.481395824154128,Other
ACH-001239,0.26113230252161823,WM2664,Melanoma,Skin,Melanoma,7.2563502379240195,Other
ACH-001233,0.09256086930876736,VMRCLCD,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,,Other
ACH-001280,-0.028780130918060517,SCS214,Synovial Sarcoma,Soft Tissue,Synovial Sarcoma,5.595742339474399,Other
ACH-001229,0.08727398910882662,UPCISCC154,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.445263208140443,Other
ACH-001228,-0.01738503172135876,UPCISCC152,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,5.798050514767515,Other
ACH-001212,0.09950731357623384,TTC642,Rhabdoid Cancer,Soft Tissue,Rhabdoid Cancer,,Other
ACH-001211,0.07022593873870717,TTC549,Rhabdoid Cancer,Soft Tissue,Rhabdoid Cancer,5.450881315273369,Other
ACH-001205,0.1841393448030073,TC32,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-001197,-0.09010729325328702,SMZ1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma,4.762880292916999,Other
ACH-001196,0.04235363923472224,SMSCTR,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,6.621612353024317,Other
ACH-001194,0.6304179845008028,SKRC31,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,4.849999259466098,Other
ACH-001307,0.1600877991879665,8505C,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,7.506605115568254,Other
ACH-001333,-0.04639088680701629,C33A,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma,6.027905996569885,Other
